City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,15.46,94,100,0.89,NZ,1706907505
1,walvis bay,-22.9575,14.5053,18.94,95,100,2.11,NA,1706907615
2,enewetak,11.3474,162.3373,26.46,84,100,10.55,MH,1706907618
3,dois vizinhos,-25.7336,-53.0572,27.34,58,50,1.84,BR,1706907457
4,port-aux-francais,-49.35,70.2167,7.28,99,89,8.44,TF,1706907619
5,carnarvon,-24.8667,113.6333,23.92,85,13,4.73,AU,1706907600
6,ola,59.5833,151.2833,-23.21,75,100,3.35,RU,1706907621
7,hawaiian paradise park,19.5933,-154.9731,23.28,97,100,6.69,US,1706907621
8,ushuaia,-54.8,-68.3,4.85,100,100,2.06,AR,1706907608
9,chul'man,56.8479,124.9104,-38.34,100,100,0.63,RU,1706907623
10,ilulissat,69.2167,-51.1,-21.99,64,75,8.23,GL,1706907624
11,tura,25.5198,90.2201,11.69,58,0,2.27,IN,1706907625
12,olonkinbyen,70.9221,-8.7187,-5.15,60,100,8.03,SJ,1706907626
13,esperanza,19.5847,-70.9849,24.32,80,89,1.88,DO,1706907627
14,mamuju,-2.6748,118.8885,27.5,81,100,4.32,ID,1706907628
15,lihue,21.9789,-159.3672,22.08,71,36,5.36,US,1706907628
16,isafjordur,66.0755,-23.124,-2.98,63,40,2.57,IS,1706907629
17,phek,25.6667,94.5,2.83,96,40,0.58,IN,1706907631
18,bethel,41.3712,-73.414,6.63,77,100,4.63,US,1706907632
19,constanta,44.1833,28.65,2.61,76,84,5.1,RO,1706907404
20,shubarkuduk,49.1447,56.4872,-0.49,96,100,6.41,KZ,1706907635
21,baikonur,45.6167,63.3167,-6.48,86,100,3.95,KZ,1706907636
22,yellowknife,62.456,-114.3525,-10.95,99,100,2.88,CA,1706907637
23,ust-nera,64.5667,143.2,-29.06,100,100,1.54,RU,1706907638
24,albany,42.6001,-73.9662,4.01,75,98,0.45,US,1706907639
25,adamstown,-25.066,-130.1015,24.94,81,22,3.81,PN,1706907639
26,sitka,57.0531,-135.33,-2.06,86,75,3.09,US,1706907640
27,kapuskasing,49.4169,-82.4331,-4.4,72,92,1.98,CA,1706907641
28,ribeira grande,38.5167,-28.7,17.22,94,40,6.17,PT,1706907642
29,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1706907390
30,puerto gaitan,4.3133,-72.0816,34.32,44,71,2.83,CO,1706907643
31,chonchi,-42.6128,-73.8092,16.62,69,80,3.62,CL,1706907644
32,papatowai,-46.5619,169.4708,7.25,98,100,2.24,NZ,1706907644
33,kodiak,57.79,-152.4072,-5.79,64,72,4.45,US,1706907645
34,bathsheba,13.2167,-59.5167,26.72,73,10,4.57,BB,1706907646
35,talnakh,69.4865,88.3972,-12.78,94,100,7.19,RU,1706907646
36,luderitz,-26.6481,15.1594,17.46,97,69,4.72,NA,1706907647
37,mogadishu,2.0371,45.3438,25.88,86,32,6.64,SO,1706907648
38,sretensk,52.2453,117.7093,-33.53,100,44,0.42,RU,1706907648
39,saraktash,51.7866,51.7866,0.13,98,100,5.45,RU,1706907650
40,kuchinda,21.7333,84.35,16.16,68,0,1.71,IN,1706907651
41,iqaluit,63.7506,-68.5145,-29.26,96,100,3.39,CA,1706907652
42,okha,53.5739,142.9478,-20.82,86,100,7.67,RU,1706907652
43,margaret river,-33.95,115.0667,18.21,95,89,4.14,AU,1706907385
44,glace bay,46.1969,-59.957,0.25,95,100,3.09,CA,1706907654
45,grytviken,-54.2811,-36.5092,5.94,76,100,3.2,GS,1706907654
46,broome,42.2506,-75.833,3.21,87,100,4.63,US,1706907655
47,port mathurin,-19.6833,63.4167,27.32,78,94,9.69,MU,1706907656
48,longyearbyen,78.2186,15.6401,-11.09,79,40,2.57,SJ,1706907656
49,stanley,54.868,-1.6985,11.96,84,75,12.35,GB,1706907613
50,el salto,20.3333,-104.5,24.59,30,0,3.71,MX,1706907657
51,bubaque,11.2833,-15.8333,25.7,71,0,5.55,GW,1706907658
52,puerto ayora,-0.7393,-90.3518,31.98,80,97,5.32,EC,1706907470
53,baoshan,46.5586,131.4244,-25.51,96,5,2.65,CN,1706907659
54,uturoa,-16.7333,-151.4333,28.16,76,100,5.29,PF,1706907660
55,avarua,-21.2078,-159.775,29.03,79,100,1.54,CK,1706907661
56,nemuro,43.3236,145.575,-8.58,69,98,13.08,JP,1706907661
57,hasaki,35.7333,140.8333,-0.78,51,49,5.73,JP,1706907662
58,campo alegre,-9.7819,-36.3508,26.34,65,99,5.91,BR,1706907379
59,grantsville,40.5999,-112.4644,5.94,100,100,2.06,US,1706907664
60,korla,41.7597,86.1469,-5.7,84,72,2.58,CN,1706907665
61,sohagi,24.9833,81.7,12.98,64,0,2.62,IN,1706907666
62,port elizabeth,-33.918,25.5701,21.17,95,60,1.34,ZA,1706907666
63,st. john's,47.5649,-52.7093,-0.62,83,100,2.71,CA,1706907667
64,starobaltachevo,56.0013,55.9213,-5.11,94,100,5.15,RU,1706907668
65,afaahiti,-17.75,-149.2833,28.93,73,100,3.58,PF,1706907668
66,edinburgh of the seven seas,-37.0676,-12.3116,18.69,94,16,6.45,SH,1706907669
67,gadzhiyevo,69.2551,33.3362,-12.54,94,35,5.6,RU,1706907670
68,puerto natales,-51.7236,-72.4875,8.93,98,100,1.88,CL,1706907606
69,hithadhoo,-0.6,73.0833,28.48,75,24,4.97,MV,1706907671
70,andreapol',56.6513,32.2664,-5.1,93,93,3.77,RU,1706907405
71,thompson,55.7435,-97.8558,1.24,100,32,2.52,CA,1706907673
72,hammerfest,70.6634,23.6821,-6.75,86,0,0.0,NO,1706907674
73,brownfield,33.1812,-102.2744,21.08,36,97,12.83,US,1706907675
74,wailua homesteads,22.0669,-159.378,22.08,72,52,1.79,US,1706907676
75,vorgashor,67.5833,63.95,-17.64,94,100,2.35,RU,1706907676
76,zaozersk,69.4005,32.4476,-13.84,93,51,3.61,RU,1706907677
77,san julian,21.0167,-102.1667,22.48,30,1,7.47,MX,1706907678
78,whitehorse,60.7161,-135.0538,-21.61,57,72,1.79,CA,1706907678
79,biltine,14.5333,20.9167,20.78,18,72,4.24,TD,1706907679
80,guerrero negro,27.9769,-114.0611,18.68,53,0,7.59,MX,1706907680
81,blackmans bay,-43.0167,147.3167,12.51,64,2,2.68,AU,1706907680
82,atafu village,-8.5421,-172.5159,28.58,78,100,5.04,TK,1706907681
83,radomsko,51.0671,19.4448,4.19,80,100,8.32,PL,1706907480
84,darwin,-12.4611,130.8418,28.99,85,75,6.69,AU,1706907386
85,invercargill,-46.4,168.35,8.9,93,99,0.89,NZ,1706907683
86,kapa'a,22.0752,-159.319,22.83,60,54,1.79,US,1706907684
87,badger,64.8,-147.5333,-33.99,59,40,0.0,US,1706907685
88,mil'kovo,55.6078,37.7956,-2.03,71,100,6.38,RU,1706907685
89,celestun,20.8667,-90.4,25.58,59,1,4.27,MX,1706907686
90,quellon,-43.1167,-73.6167,16.62,66,74,3.03,CL,1706907687
91,nova sintra,14.8667,-24.7167,21.64,70,0,4.88,CV,1706907688
92,bondo,3.8146,23.6866,22.08,28,60,2.0,CD,1706907688
93,veraval,20.9,70.3667,22.4,68,4,2.42,IN,1706907689
94,bredasdorp,-34.5322,20.0403,21.32,92,13,2.56,ZA,1706907479
95,namibe,-15.1961,12.1522,24.99,88,100,3.13,AO,1706907690
96,aqaba,29.5267,35.0078,12.53,58,8,0.75,JO,1706907678
97,humaita,-7.5061,-63.0208,27.52,91,97,0.81,BR,1706907692
98,keflavik,64.0049,-22.5624,-0.76,51,75,22.12,IS,1706907692
99,kone,-21.0595,164.8658,28.22,80,100,2.95,NC,1706907693
100,isiro,2.7739,27.616,21.92,38,35,1.77,CD,1706907558
101,orcopampa,-15.2661,-72.3417,13.97,68,99,4.85,PE,1706907695
102,punta arenas,-53.15,-70.9167,5.06,93,100,6.12,CL,1706907696
103,carora,10.1755,-70.0827,30.46,53,81,1.5,VE,1706907697
104,panaba,21.2833,-88.2667,29.51,40,1,2.51,MX,1706907698
105,remire-montjoly,4.9167,-52.2667,29.02,65,20,4.63,GF,1706907676
106,madarounfa,13.3087,7.156,20.36,18,2,4.52,NE,1706907700
107,launceston,-41.45,147.1667,12.31,76,0,2.57,AU,1706907701
108,labunista,41.2686,20.5961,0.3,79,10,2.56,MK,1706907702
109,kingston,17.997,-76.7936,26.8,75,56,1.79,JM,1706907658
110,alice springs,-23.7,133.8833,29.01,20,100,2.06,AU,1706907703
111,tubarjal,30.4999,38.216,8.4,75,4,3.32,SA,1706907705
112,callao,-12.0667,-77.15,23.26,88,100,5.96,PE,1706907619
113,trapani,37.8333,12.6667,10.15,83,1,3.76,IT,1706907543
114,ghat,24.9647,10.1728,11.45,25,25,0.5,LY,1706907707
115,santana,-0.0583,-51.1817,26.15,87,100,1.9,BR,1706907708
116,borogontsy,62.6683,131.1683,-41.33,100,65,0.98,RU,1706907709
117,jianguang,28.1938,115.7836,4.7,94,100,2.89,CN,1706907710
118,saint-pierre,-21.3393,55.4781,24.82,78,75,5.14,RE,1706907710
119,coyhaique,-45.5752,-72.0662,17.97,55,75,4.63,CL,1706907592
120,saint-francois,46.4154,3.9054,3.15,100,77,1.54,FR,1706907712
121,yovon,38.3141,69.0378,3.82,40,100,4.09,TJ,1706907712
122,mount isa,-20.7333,139.5,25.87,83,40,7.2,AU,1706907714
123,rabo de peixe,37.8,-25.5833,17.77,99,20,4.12,PT,1706907689
124,tralee,52.2704,-9.7026,11.61,95,100,4.16,IE,1706907715
125,port lincoln,-34.7333,135.8667,18.45,86,0,2.09,AU,1706907716
126,lebu,-37.6167,-73.65,19.13,82,33,5.52,CL,1706907716
127,tazovsky,67.4667,78.7,-11.14,91,100,6.61,RU,1706907672
128,palmer,42.1584,-72.3287,5.84,68,99,1.34,US,1706907718
129,china,25.7,-99.2333,29.53,33,0,3.08,MX,1706907692
130,shitanjing,39.2342,106.3439,-5.86,97,87,1.17,CN,1706907719
131,ryotsu-minato,38.0833,138.4333,2.94,60,100,5.94,JP,1706907719
132,west island,-12.1568,96.8225,26.99,94,75,2.57,CC,1706907720
133,rikaze,29.25,88.8833,-5.77,27,4,1.66,CN,1706907721
134,susuman,62.7833,148.1667,-33.34,100,94,1.34,RU,1706907721
135,vila velha,-20.3297,-40.2925,26.64,90,99,1.34,BR,1706907601
136,el porvenir,13.7617,-87.3458,32.37,29,5,3.26,HN,1706907723
137,anadyr,64.75,177.4833,-15.72,60,100,14.0,RU,1706907658
138,oranjemund,-28.55,16.4333,20.12,94,69,0.96,NA,1706907629
139,petropavlovsk-kamchatsky,53.0452,158.6483,-19.75,75,0,4.47,RU,1706907698
140,lhasa,29.65,91.1,-3.97,45,84,0.93,CN,1706907726
141,plymouth,41.8334,-70.8328,6.1,84,86,4.42,US,1706907206
142,tiksi,71.6872,128.8694,-26.77,100,93,1.45,RU,1706907667
143,kapit,2.0167,112.9333,23.25,100,100,0.29,MY,1706907728
144,malango,-2.9627,119.9001,19.24,95,96,1.21,ID,1706907728
145,samana,19.2056,-69.3369,24.29,64,90,2.37,DO,1706907729
146,la sarre,48.8002,-79.1996,-6.43,82,23,0.99,CA,1706907729
147,greymouth,-42.4667,171.2,10.65,87,100,5.8,NZ,1706907730
148,klyuchi,52.2667,79.1667,-10.39,93,100,5.28,RU,1706907731
149,queenstown,-31.8976,26.8753,20.71,79,99,0.47,ZA,1706907731
150,haiku-pauwela,20.9219,-156.3051,20.09,93,100,6.17,US,1706907732
151,satara,17.6833,73.9833,18.09,42,73,2.19,IN,1706907183
152,la ronge,55.1001,-105.2842,3.36,87,69,2.31,CA,1706907733
153,newport,51.5877,-2.9984,11.71,95,100,6.29,GB,1706907734
154,omutinskiy,56.4745,67.6709,-21.63,100,100,3.02,RU,1706907735
155,porto tolle,44.9497,12.3245,8.67,69,7,1.69,IT,1706907491
156,atherton,53.5237,-2.4935,12.38,84,100,1.79,GB,1706907736
157,darlowo,54.421,16.4107,5.05,94,100,12.37,PL,1706907737
158,tomislavgrad,43.7181,17.2267,-0.69,84,39,2.56,BA,1706907737
159,shahrud,36.4182,54.9763,-2.96,81,100,0.93,IR,1706907725
160,wynyard,-41.0,145.7167,11.96,76,1,3.09,AU,1706907739
161,kyzyl-mazhalyk,51.1333,90.6,-23.94,98,100,0.89,RU,1706907739
162,naliya,23.2667,68.8333,21.28,70,0,2.35,IN,1706907740
163,kourou,5.1552,-52.6478,29.03,70,100,3.03,GF,1706907620
164,rio gallegos,-51.6226,-69.2181,10.89,81,100,10.18,AR,1706907741
165,mitu,1.1983,-70.1733,27.8,79,100,0.66,CO,1706907742
166,fang,19.9169,99.2145,13.43,39,0,0.68,TH,1706907743
167,el bayadh,33.6832,1.0193,7.85,39,0,2.52,DZ,1706907743
168,breves,-1.6822,-50.4803,23.29,98,100,0.86,BR,1706907745
169,touba,8.2833,-7.6833,27.85,20,1,0.85,CI,1706907745
170,esil,51.9556,66.4042,-4.04,96,100,5.84,KZ,1706907747
